name	ratings	date	helpful	comment
행복하니?	1	2021-06-06	1	쿠폰이 중복이 안됨...애초에 중복이 안된다고 써놓든가 쿠폰쓰라고 첫주문쿠폰받고 음식점쿠폰받아서 쓰려고 하니 하나만 고르라네?
jonmin won	1	2021-05-30	5	한집배송인데 요즘들어 기사가 안잡히거나 너무 늦게와서 배달느려서 취소함. 초반에만 잘돌아가고 요즘엔 배민이 혜택도 많고 더 빨른듯...
:베아	5	2021-06-09	1	집주변 배달가능맛집을 한눈에 볼수있고 주문현황도 계속 알림이 떠서 너무 좋아요
최한량	1	2021-06-01	16	배달 한시간 넘기는건 기본에 그럼 취소를 해주던가 고객센터는 연락 두절..다 식어빠진 음식오고..앱 바로 삭제함...
신이나	1	2021-05-30	8	무료배달 배너 걸어놓고 눌러보면 최소주문 15000원 이상 무료배달^^ 1점 정말 잘 안주는데 이건 어이없어서 1점이요.삭제하기 전에 리뷰 작성하고 삭제하려고요.
Sum y	5	2021-05-25	75	"다른 배달앱 전부 사용해봤지만 쿠팡이츠가 최고! 빠르기는 기본이고, 배달 과정이나 알림이 한눈에 그리고 시시각각 보여줘서, 타 배달앱과 차별성은 물론이고 개인에게도 아주 유용함. 지인들에게 사용권장하고 있음"
김sang.준	1	2021-05-29	121	자주는아니지만 가끔 이용합니다만 이런글쓰는 시간도아깝네요 주소오류로 음식을못받았는데 다른집문앞에 그냥두고 가버리는 배달하는 놈이나 그걸 제대로 처리를못하는 콜센터나 도긴개긴이네요 별한개도 주기싫은데 한개라도 먹으려고 지워지질않네요 참나
김은경	5	2021-06-09	1	배달의 민족을 이용하다 얼마전부터 쿠팡이츠를 이용중입니다~무엇보다 한번 등록으로 결제가 간편한점과 배송이 빨라 만족입니다
salatia J	5	2021-05-29	15	빨리오고 요리하는중인지 오는중인지 보여서 좋아요 아쉬운건 배민만큼 음식점이 다양하지않고 토핑이나 사이드 추가나 이런거 추가하는 항목이 배민엔 있는데 여긴 없을때가 있네요ㅎ 여튼 잘쓰고있어요ㅎ
꼴프허니	1	2021-05-31	2	배민은 어떨지 모르겠지만 쿠팡이츠의 배달 지연 취소 다수 발생하며 음식점 등 피해 다수발생함. 고객 불만 자주발생함 나도 경험해보니 기분 별로 신뢰가 가지 않음.
황현식	1	2021-06-07	47	친구 추천으로 꽤오래 싸왓고 많이 사용해봣지만 최악임 지역차일수도 잇지만 배달 실수 많고 오배달로 사고 많음 내가 겪은거만 2건 그리고 첫번째 고객센터로 문의햇을땐 대처가 좋아 그냥 넘어갓으나 두번째 오배달로 인해 고객센터로 이용햇을땐 진짜 무성의 상황을 다들어야 대처가 가능할텐데 말도 계속 끊어먹음 자기 말만함
박윤식	4	2021-06-01	11	쿠팡이츠깔고나서자주이용하네요.음식시킬때포인트같은거주면더좋을듯합니다.배달도꽤빠른편이구요.자주이용할께요.
김노을	4	2021-06-05	45	"1. 주문하자 마자 접수 되니 취소 버튼이 없어서 매장으로 바로 전화해서 메뉴추가결제 할거라고 요청하니 바로 취소해주셔서 잘 처리함. 2. 주문-조리-픽업-배달중-배달거의완료까지 알림이 와서 좋고, 배달이 빨라서 좋음."
kaze k	1	2021-05-30	6	배달시간 계속지연..완전 최악이네요 음식점은 준비 됐다는데 쿠팡이츠에서 안온다네.. 배달인원도 없이 광고만하네 음식 다식어 맛없고 다시는 여기 안시킴
김성고	1	2021-06-02	2	처음에는 배달이 진짜 빠르다고 생각했는데 점점늦어지더니 최초 주문할때 예상시간을 맞춰오는게 없네요 배민이랑 다를게 없는듯
